hospital_name,hospital_type,phone,email,website,street_address,suburb,postcode,state,full_address,local_health_district,services,source
Hillston District Hospital,Not reporting wait times,02 6961 7200,,,Burns Street,Hillston,2675,NSW,"Burns Street, Hillston, NSW, 2675",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Holbrook District Hospital,Not reporting wait times,02 6036 2522,,,Bowler Street,Holbrook,2644,NSW,"Bowler Street, Holbrook, NSW, 2644",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Holbrook Residential Aged Care,No emergency department,02 6036 2522,,,Bowler Street,Holbrook,2644,NSW,"Bowler Street, Holbrook, NSW, 2644",Murrumbidgee Local Health District,No emergency department,NSW Health API
Hornsby Ku-ring-gai Hospital,Reporting wait times,02 9477 9123,,,Palmerston Rd,Hornsby,2077,NSW,"Palmerston Rd, Hornsby, NSW, 2077",Northern Sydney Local Health District,Reporting wait times,NSW Health API
Inverell District Hospital,Reporting wait times,02 6721 9500,,,41 Swanbrook Rd,Inverell,2360,NSW,"41 Swanbrook Rd, Inverell, NSW, 2360",Hunter New England Local Health District,Reporting wait times,NSW Health API
Jerilderie Health Service,Not reporting wait times,03 5886 1300,,,Newell Highway,Jerilderie,2716,NSW,"Newell Highway, Jerilderie, NSW, 2716",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Jerilderie Residential Aged Care,No emergency department,03 5886 1300,,,Corner of South Coree Road and West Street,Jerilderie,2716,NSW,"Corner of South Coree Road and West Street, Jerilderie, NSW, 2716",Murrumbidgee Local Health District,No emergency department,NSW Health API
John Hunter Hospital (including Royal Newcastle Centre and John Hunter Children's Hospital),Reporting wait times,02 4921 3000,,,Lookout Road,New Lambton Heights,2305,NSW,"Lookout Road, New Lambton Heights, NSW, 2305",Hunter New England Local Health District,Reporting wait times,NSW Health API
Junee District Hospital,Not reporting wait times,02 6924 8200,,,67 Broadway Street,Junee,2663,NSW,"67 Broadway Street, Junee, NSW, 2663",Murrumbidgee Local Health District,Not reporting wait times,NSW Health API
Junee Residential Aged Care,No emergency department,02 6924 1122,,,24-28 Commins Street,Junee,2663,NSW,"24-28 Commins Street, Junee, NSW, 2663",Murrumbidgee Local Health District,No emergency department,NSW Health API
Kempsey District Hospital,Reporting wait times,02 6562 6155,,,119 River Street,Kempsey,2440,NSW,"119 River Street, Kempsey, NSW, 2440",Mid North Coast Local Health District,Reporting wait times,NSW Health API
Kiama Hospital and Community Health Service,No emergency department,02 4233 1033,,,Bonaira Street,Kiama,2533,NSW,"Bonaira Street, Kiama, NSW, 2533",Illawarra Shoalhaven Local Health District,No emergency department,NSW Health API
Kiama Hospital Nursing Home,No emergency department,02 4233 1033,,,Bonaire Street,Kiama,2533,NSW,"Bonaire Street, Kiama, NSW, 2533",Illawarra Shoalhaven Local Health District,No emergency department,NSW Health API
Kimbarra Lodge Hostel - Gloucester Soldiers Memorial Hospital,No emergency department,02 6558 1307,,,Hay Street,Gloucester,2422,NSW,"Hay Street, Gloucester, NSW, 2422",Hunter New England Local Health District,No emergency department,NSW Health API
Kurri Kurri Hospital,Not reporting wait times,02 4936 3200,,,Lang Street,Kurri Kurri,2327,NSW,"Lang Street, Kurri Kurri, NSW, 2327",Hunter New England Local Health District,Not reporting wait times,NSW Health API
Kyogle Memorial Hospital,Not reporting wait times,02 6632 1522,,,Summerland Way,Kyogle,2474,NSW,"Summerland Way, Kyogle, NSW, 2474",Northern NSW Local Health District,Not reporting wait times,NSW Health API
Kyogle Residential Age Care,No emergency department,02 6632 1522,,,Summerland Way,Kyogle,2474,NSW,"Summerland Way, Kyogle, NSW, 2474",Northern NSW Local Health District,No emergency department,NSW Health API
