service_name,phone_number,hours_of_operation,description,source_url
Environment Community Information,1800 803 772,Hours of Operation: 9am to 4pm EST,For enquiries about the publications and services of the Department,https://www.directory.gov.au/enquiry-lines/e#paginationControl
Extended-hours Business,13 2866,,"8am-6pm, Mon-Fri and 10am-4pm, Sat (local time) except national public holidaysPlease note: A limited service will operate between 6pm and 8pm on weekdays and 10am and 4pm on Saturday",https://www.directory.gov.au/enquiry-lines/e#paginationControl
Extended-hours Debt Enquiries,13 1142,,"8am-6pm, Mon-Fri and 10am-4pm, Sat (local time) except national public holidaysPlease note: A limited service will operate between 6pm and 8pm on weekdays and 10am and 4pm on Saturday",https://www.directory.gov.au/enquiry-lines/e#paginationControl
Extended-hours Individuals,13 2861,,"8am-6pm, Mon-Fri and 10am-4pm, Sat and Sun (local time) except national public holidaysPlease note: A limited service for myGov/myTax enquiries will operate between 6pm and 10pm on weekdays and 10am and 4pm on weekends. Call 13 28 61 and select option 5",https://www.directory.gov.au/enquiry-lines/e#paginationControl
Extended-hours Registered Tax Profession,13 7286,,"8am-6pm, Mon-Fri and 10am-4pm, Sat (local time) except national public holidaysPlease note: A limited service will operate between 6pm and 8pm on weekdays and 10am and 4pm on Saturday",https://www.directory.gov.au/enquiry-lines/e#paginationControl
Fair Work Infoline,131 394,"Hours of Operation: 8.00am - 5.30pm local time, Monday to Friday",We're here to give advice and help you understand your workplace rights and responsibilities. If you have a question or problem relating to your workplace call the Fair Work Infoline.,https://www.directory.gov.au/enquiry-lines/f#paginationControl
Farm Support,1800 900 090,,For general enquiries,https://www.directory.gov.au/enquiry-lines/f#paginationControl
Freedom of Information Enquiries Line,1300 363 992,,The Office of the Australian Information Commissioner Enquiries Line covers FOI and Privacy enquiries,https://www.directory.gov.au/enquiry-lines/f#paginationControl
Gene Technology Regulator,1800 181 030,Hours of Operation: Business hours,General enquiries,https://www.directory.gov.au/enquiry-lines/g#paginationControl
General Enquiries,1300 488 064,,People with hearing or speech disability can use the National Relay Service to access the department`s phone numbers. Call 1300 555 727 (speak and listen) or go to the NRS website for other options.,https://www.directory.gov.au/enquiry-lines/g#paginationControl
General Enquiries,1800 838 372,Hours of Operation: 8am to 5 pm Monday to Friday,General inquiries (calls from within Australia),https://www.directory.gov.au/enquiry-lines/g#paginationControl
General Enquiries,1300 488 064,,People with hearing or speech disability can use the National Relay Service to access the department`s phone numbers. Call 1300 555 727 (speak and listen) or go to the NRS website for other options.,https://www.directory.gov.au/enquiry-lines/g#paginationControl
General Enquiries - International,+61 2 6289 1133,Hours of Operation: 8am to 5 pm Monday - Friday,General enquiries for international callers.,https://www.directory.gov.au/enquiry-lines/g#paginationControl
Hannah Massocchi,02 6272 5674,,Executive Assistant to People Strategy and Safety Branch,https://www.directory.gov.au/enquiry-lines/h#paginationControl
Health Care Cards,132 300,,Call Department of Human Services for information about eligibility and card types.,https://www.directory.gov.au/enquiry-lines/h#paginationControl
Health Care Complaints Commission,1800 043 159,,Complaints may be made about anything to do with public or private health care services or a health care practitioner,https://www.directory.gov.au/enquiry-lines/h#paginationControl
Health Grants - GrantNet,1800 500 983,Hours of Operation: Business hours,National Health and Medical Research Council grants information,https://www.directory.gov.au/enquiry-lines/h#paginationControl
Honours inquiries including nomination,02 6283 3604,Hours of Operation: 24 hours,Answering machine,https://www.directory.gov.au/enquiry-lines/h#paginationControl
Human Rights and Equal Opportunity Compl,1300 656 419,,"The Commission investigates alleged infringements of human rights under the Human Rights and Equal Opportunity Commission Act 1986 and breaches of anti-discrimination law under the Age Discrimination Act 2004, Disability Discrimination Act 1992, Racial Discrimination Act 1975 and Sex Discrimination Act 1984. Complaints are handled on a confidential basis with an emphasis on conciliation.",https://www.directory.gov.au/enquiry-lines/h#paginationControl
Immigration General Enquiries,131 881,Hours of Operation: Monday to Friday 9am to 5pm,"Note: This number is only available if you are calling from inside Australia. If you are outside Australia and wish to make an enquiry please contact the relevant Australian Immigration office overseas.Use this general enquiries number to:obtain general information on all temporary and permanent visa categories (including visitors, students, family migration, temporary business visas and refugee and humanitarian applications)make appointments for lodging visa applicationschange contact detailscontact departmental officers",https://www.directory.gov.au/enquiry-lines/i#paginationControl
Immunisation Hotline,1800 671 811,Hours of Operation: Business Hours,"o ATAGIo Australian Technical Advisory Group on Immunisationo Department of Health and Ageingo Health and Ageingo Immunisationo Immunise Australiao Immunisingo Inquirieso National Immunisation Committee (NIC) National Immunisation Program (NIP)o National Immunisation Program (NIP)o National Information Lineso Vaccinatingo Vaccinationo Vaccineo Vaccine preventableo Vaccine preventativeo Vaccine safetyAn Australian, State and Territory Government initiative, the Immunise Australia Program aims to increase national immunisation rates for vaccine preventable diseases. The Immunisation Hotline provides information on the National Immunisation Program and individual vaccines.",https://www.directory.gov.au/enquiry-lines/i#paginationControl
Instrument registration and gazettal Hel,(02) 6120 1350,,Instrument registration and gazettal Help desk,https://www.directory.gov.au/enquiry-lines/i#paginationControl
Maritime Search and Rescue,1800 641 792,Hours of Operation: 24 hours,,https://www.directory.gov.au/enquiry-lines/m#paginationControl
Media enquires - Agriculture,(61 2) 6272 3232,,For media enquiries about agriculture and biosecurity issues.,https://www.directory.gov.au/enquiry-lines/m#paginationControl
Media enquires - Environment,(61 2) 6275 9880,,For media enquiries about environment issues,https://www.directory.gov.au/enquiry-lines/m#paginationControl
Media Enquiries,02 6264 2244,Hours of Operation: 9am to 5pm,"The Department's Communication and Media Branch are responsible for media releases, responding to journalist, TV and photo enquiries, general media related enquiries and letters to editors in Australian newspapers on departmental issues.",https://www.directory.gov.au/enquiry-lines/m#paginationControl
Media Enquiries,(02) 6240 7300,,we will not respond to any other enquiry.,https://www.directory.gov.au/enquiry-lines/m#paginationControl
Medical Indemnity,1800 007 757,Hours of Operation: Business Hours,Information about medical indemnity insurance,https://www.directory.gov.au/enquiry-lines/m#paginationControl
Medicare,13 2011,Hours of Operation: Business Hours,General Enquiries,https://www.directory.gov.au/enquiry-lines/m#paginationControl
National Museum of Australia,1800 026 132,Hours of Operation: Business Hours,General Enquiries,https://www.directory.gov.au/enquiry-lines/n#paginationControl
National Security Hotline,1800 123 400,Hours of Operation: 24 hrs/day - 7 days/week,Report activities relevant to national security.,https://www.directory.gov.au/enquiry-lines/n#paginationControl
Nominal Rolls,1300 780 133,,A Nominal Roll is a list of the names of veterans who have served in a particular conflict in which Australia has participated.,https://www.directory.gov.au/enquiry-lines/n#paginationControl
Notifying Work-Related Incidents,1300 366 979,,Service for notifying work related incidents to Comcare.,https://www.directory.gov.au/enquiry-lines/n#paginationControl
Office of Australian War Graves,1800 838 372,Hours of Operation: 9am to 5.30pm Monday to Friday,Enquiries regarding war graves eligibility.,https://www.directory.gov.au/enquiry-lines/o#paginationControl
Oil spills & marine pollution,1800 641 792,Hours of Operation: 24 hours,Reporting polluting ships,https://www.directory.gov.au/enquiry-lines/o#paginationControl
Open Arms National,1800 011 046,Hours of Operation: 24 / 7,Open Arms Veterans and Families Counselling,https://www.directory.gov.au/enquiry-lines/o#paginationControl
Organ Donor Registry,1800 777 203,Hours of Operation: Business Hours,Information about registering to become an organ donor,https://www.directory.gov.au/enquiry-lines/o#paginationControl
Our Switchboard,13 2869,,"8am-5pm, Mon-Fri (local time) except national public holidays",https://www.directory.gov.au/enquiry-lines/o#paginationControl
Personal insolvency information,1300 364 785,Hours of Operation: Monday to Friday 8:30 am to 8:00 pm (AEST and AEDT),Designed for people who may be finding their level of debt unmanageable and are contemplating bankruptcy.,https://www.directory.gov.au/enquiry-lines/p#paginationControl
Personal Property Securities Register,1300 007 777,Hours of Operation: Monday to Friday - 8:30 am to 8 pm (AEST),The Personal Property Securities Register (PPSR) is a national online register that can provide information to help protect consumers when they are buying.,https://www.directory.gov.au/enquiry-lines/p#paginationControl
Pharmaceutical Benefits Scheme,1800 020 613,Hours of Operation: Business Hours,General information service,https://www.directory.gov.au/enquiry-lines/p#paginationControl
Prescriber Information,1800 552 580,,,https://www.directory.gov.au/enquiry-lines/p#paginationControl
Privacy Enquiries Line,1300 363 992,,The Office of the Australian Information Commissioner Enquiries Line covers FOI and Privacy enquiries,https://www.directory.gov.au/enquiry-lines/p#paginationControl
Radiation Protection and Nuclear Safety,1800 022 333,,General information service,https://www.directory.gov.au/enquiry-lines/r#paginationControl
Registered Organisations Commission,1300 341 665,Hours of Operation: 9.00am - 5.00pm Monday to Friday,We’re here to educate and support registered organisations in Australia ensure they comply with legislative requirements.,https://www.directory.gov.au/enquiry-lines/r#paginationControl
Rehabilitation Appliances Program (RAP),1800 550 457,,"The Rehabilitation Appliances Program (RAP) Enquiry Line exists to enable ease of access to prescribers, suppliers, clients and internal staff to submit RAP related questions, accounts and requests.",https://www.directory.gov.au/enquiry-lines/r#paginationControl
Reserve Bank of Australia,1800 300 288,,General enquiries,https://www.directory.gov.au/enquiry-lines/r#paginationControl
Responsible for Algeria,0011 +33 1 4059 3300,,Australian Embassy in France,https://www.directory.gov.au/enquiry-lines/r#paginationControl
Royal Australian Mint,1300 652 020,Hours of Operation: 8.30am to 4.30pm,,https://www.directory.gov.au/enquiry-lines/r#paginationControl
Rural Health National Information Line,1800 020 787,Hours of Operation: Business Hours,General Enquiries,https://www.directory.gov.au/enquiry-lines/r#paginationControl
Self-help Business,13 7226,,Lodge yourNIL activity statementNIL annual GST returnGST or PAYG instalment annual electionsRegister for fuel tax creditsMake a payment arrangementEnquire about the progress of your lodgments or your ABN application,https://www.directory.gov.au/enquiry-lines/s#paginationControl
Self-help Individuals,13 2865,,Enquire about the progress of your lodgmentsSearch for your lost superApply for refund of GST creditsMake a payment arrangement,https://www.directory.gov.au/enquiry-lines/s#paginationControl
Self-help Publications,1300 720 092,,"Order publications and forms, including individual tax return instructions and forms",https://www.directory.gov.au/enquiry-lines/s#paginationControl
Senior's Card (Commonwealth),13 2300,,Seniors Card is a FREE discount card providing members with access to Government concessions and business discounts.,https://www.directory.gov.au/enquiry-lines/s#paginationControl
Severe Acute Respiratory Syndrome (SARS),1800 004 599,Hours of Operation: The operating hours 8.30 am - 5.00 pm Monday to Friday. After Hours - recorded message,Information Hotline,https://www.directory.gov.au/enquiry-lines/s#paginationControl
The Translating and Interpreting Service,131 450,"Hours of Operation: 24 hours, every day of the year","The Translating and Interpreting Service (TIS National) is an interpreting service provided by the Department of Home Affairs for people with limited English proficiency and for agencies and businesses that need to communicate with their non-English speaking clients.The TIS National services can be accessed 24 hours a day at the cost of the call for any person who needs an interpreter.Contact details for TIS National services, general enquires or feedback can be found at www.tisnational.gov.au/Contact-us",https://www.directory.gov.au/enquiry-lines/t#paginationControl
Therapeutic Goods Administration,1800 020 653,Hours of Operation: Business Hours,Enquiries,https://www.directory.gov.au/enquiry-lines/t#paginationControl
Tourism Australia,+61 2 9360 1111,"Hours of Operation: During office hours, 9.00 am - 5.30 pm (AEST)",TBA,https://www.directory.gov.au/enquiry-lines/t#paginationControl
Transport Bookings,1300 550 455,Hours of Operation: 8am to 5 pm Monday - Friday,This line allows veterans their representatives and health providers arrange taxi transport to medical appointments under the BCWD scheme.,https://www.directory.gov.au/enquiry-lines/t#paginationControl
Transport Claims,1800 838 372,Hours of Operation: 8am to 5 pm Monday - Friday,This line allows veterans and the representatives to contact Transport staff members to make enquiries regarding the their travel reimbursement eligibility and to check on progress of claims previously lodged.,https://www.directory.gov.au/enquiry-lines/t#paginationControl
Travel Advice - Smartraveller,1300 555 135,Hours of Operation: Emergency consular assistance is available 24 hours,"•   Travel advisories from the Department of Foreign Affairs and Trade we deliver a range ofconsular services for Australians travelling or living overseas. We deliver our servicesthrough Australian embassies, high commissions and consulates overseas.___________________________________________________________________________•   Smartraveller provides official overseas travel advice. Our travel advice aims to inform youof the risks and how to avoid or handle difficulties overseas. Ultimately, though, it’s adviceonly and the decision to travel is yours. It’s also your responsibility to take care of your safetyand wellbeing.___________________________________________________________________________•   If you, or someone you know, needs urgent help or you have significant welfare concerns,emergency consular assistance is available 24 hours a day by calling the ConsularEmergency Centre (CEC) in Canberra on:1300 555 135 (within Australia)+61 2 6261 3305 (from overseas)___________________________________________________________________________Please use link below to contact Smartraveller.https://www.smartraveller.gov.au/about-us/contact-us",https://www.directory.gov.au/enquiry-lines/t#paginationControl
Travel Health,1300 555 135,Hours of Operation: Business hours,Providing advice on Travel Health.,https://www.directory.gov.au/enquiry-lines/t#paginationControl
Treasury (Contact),1800 020 008,Hours of Operation: Business Hours,General Enquiries,https://www.directory.gov.au/enquiry-lines/t#paginationControl
Treatment Card Inquiries,1800 838 372,,Treatment Card Inquiries,https://www.directory.gov.au/enquiry-lines/t#paginationControl
Use of the word Anzac,1800 838 372,,All enquiries around the use of the word Anzac.,https://www.directory.gov.au/enquiry-lines/u#paginationControl
VAPAC,1800 552 580,,The Veterans' Affairs Pharmaceutical Approvals Centre,https://www.directory.gov.au/enquiry-lines/v#paginationControl
Veteran & Community Grants,1800 020 283,,Information on the Veteran and Community Grants (V&CG) Program which  is to maintain and improve the independence and quality of life for members of the Australian veteran community by providing funding for projects that sustain or enhance health and wellbeing.,https://www.directory.gov.au/enquiry-lines/v#paginationControl
Veterans' Home Care Assessment,1300 550 450,,Veterans' Home Care Assessment Agency,https://www.directory.gov.au/enquiry-lines/v#paginationControl
Veterans' Review Board,1300 550 460,,,https://www.directory.gov.au/enquiry-lines/v#paginationControl
War Graves - Individual Commemorations,1800 838 372,,"War Graves, individual commemorations",https://www.directory.gov.au/enquiry-lines/w#paginationControl
Weather Connect,1300 754 389,,Weather Connect,https://www.directory.gov.au/enquiry-lines/w#paginationControl
