contact_id,contact_type,contact_value,organization_name,organization_type,source_agent,source_url,address,suburb,state,postcode,services,verified_date,confidence_score,notes
gov_phone_10,phone,1300 558 849,Australian Prudential Regulation Authori,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,APRA is the prudential regulator of financial institutions.,2025-08-30T06:49:35.215425,0.9,Federal government directory - nan
gov_phone_11,phone,1300 300 630,Australian Securities and Investments Co,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,General Enquiries,2025-08-30T06:49:35.215447,0.9,Federal government directory - Hours of Operation: Business
gov_phone_12,phone,1800 815 257,Aviation Search and Rescue,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/a#paginationControl,,,Federal,,nan,2025-08-30T06:49:35.215507,0.9,Federal government directory - Hours of Operation: 24 hour emergency
gov_phone_13,phone,1300 364 785,Bankruptcy (personal) information,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,AFSA Bankruptcy (personal) information line.,2025-08-30T06:49:35.215588,0.9,Federal government directory - Hours of Operation: Monday to Friday 8:30 am to 8:00 pm (AEST and AEDT)
gov_phone_14,phone,1800 838 372,Bereavement,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,A bereavement payment is designed to help with the costs that may follow the death of a pensioner or a current or former serving member. The bereavement payment may depend on when the person who died was injured,2025-08-30T06:49:35.215621,0.9,Federal government directory - Hours of Operation: 8am to 5 pm
gov_phone_15,phone,(02) 6211 8300,Blood Authority Information line,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,General enquiries,2025-08-30T06:49:35.215647,0.9,Federal government directory - Hours of Operation: Business Hours
gov_phone_16,phone,13 2050,Breastscreen Australia,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,To book a free screening mammogram,2025-08-30T06:49:35.215672,0.9,Federal government directory - Hours of Operation: Business hours
gov_phone_17,phone,13 1030,Business-hours Indigenous Helpline,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,"8am-6pm, Mon-Fri (local time) except national public holidays",2025-08-30T06:49:35.215699,0.9,Federal government directory - nan
gov_phone_18,phone,1300 130 248,Business-hours Non-profit organisations,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,"8am-6pm, Mon-Fri (local time) except national public holidays",2025-08-30T06:49:35.215723,0.9,Federal government directory - nan
gov_phone_19,phone,13 1020,Business-hours Superannuation Enquiries,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,"8am-6pm, Mon-Fri (local time) except national public holidays",2025-08-30T06:49:35.215745,0.9,Federal government directory - nan
gov_phone_20,phone,13 1450,Business-hours Translating and Interpret,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,"Translating and Interpreting service for people from non-English speaking backgrounds8am-6pm, Mon-Fri (local time) except national public holidays",2025-08-30T06:49:35.215768,0.9,Federal government directory - nan
gov_phone_21,phone,13 2846,business.gov.au 13 28 46,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/b#paginationControl,,,Federal,,"business.gov.au is an online government resource for the Australian business community. business.gov.au offers you simple and convenient access to all of the government information, forms and services you need. It's a whole-of-government service providing essential information on planning, starting and growing your business.",2025-08-30T06:49:35.215791,0.9,Federal government directory - Hours of Operation: 8.00am - 8.00pm AEST Monday to Friday
gov_phone_22,phone,1800 242 636,Carer Resource Centres,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,Information and advice about services and assistance for carers,2025-08-30T06:49:35.215813,0.9,Federal government directory - nan
gov_phone_23,phone,13 1556,Cervical Screening Program,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,General information line,2025-08-30T06:49:35.215835,0.9,Federal government directory - nan
gov_phone_24,phone,131 880,Citizenship Information Line,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,Use this number to:request application forms for Australian citizenshipobtain information about:application fees and processescitizenship ceremonies Australian citizenship affirmation ceremonies dual citizenship.,2025-08-30T06:49:35.215857,0.9,"Federal government directory - Hours of Operation: Monday to Friday, 9am to 5pm"
gov_phone_25,phone,1800 020 283,Commemorative Grants,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,"Enquiries regarding Saluting Their Service Grants Program which aims to preserve Australia’s wartime heritage and to involve people throughout the nation in a range of projects and activities that highlight the service and sacrifice of Australia’s service personnel in wars, conflicts and peace operations.",2025-08-30T06:49:35.215879,0.9,Federal government directory - nan
gov_phone_26,phone,1800 838 372,Community Nursing,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,Community Nursing,2025-08-30T06:49:35.215900,0.9,Federal government directory - nan
gov_phone_27,phone,1300 302 502,Competition and Consumer information - A,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,Information line to explain rights and obligations to business and consumers,2025-08-30T06:49:35.215921,0.9,Federal government directory - Hours of Operation: 11am-3pm Monday to Friday
gov_phone_28,phone,1800 199 010,"Complaints, compliments and suggestions",government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,"We welcome your feedback - complaints, compliments and suggestions - about the services we provide and your experience with the way we deliver those services. This feedback helps us improve the way we do things.Call from overseas: +61 2 6216 1111",2025-08-30T06:49:35.215941,0.9,Federal government directory - nan
gov_phone_29,phone,133 177,"Compliments, Complaints and Suggestions",government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,"​Your feedback is valuable to us. We use your feedback to improve our services to industry and the community, and investigate and respond to any issues of concern.Feedback can be compliments, complaints and suggestions:•Compliments are praise or congratulations about any aspect of our services, performance or how we do business.•Complaints are an expression of dissatisfaction or unmet expectations about any aspect of our service or the way we conduct our business.•Suggestions are ideas on how we could improve our services or do our business differently.We value your feedback. If we get things wrong, we need to address and evaluate such instances to resolve these matters promptly. Similarly, we should recognise when we are complimented on our service and performance.We are committed to providing services in ways that are considerate of the impact to:•Passenger movement•Cargo clearance•Compliance monitoring•Operational activities•Visa and Citizenship applications and processes•Service providers and partners.",2025-08-30T06:49:35.215962,0.9,Federal government directory - Hours of Operation: 9am to 5pm (local Melbourne time)
gov_phone_30,phone,1300 555 135,Consular Emergency Centre,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,"The Consular Emergency Centre (CEC) provides emergency consular services 24 hours a day, seven days a week, around the world.",2025-08-30T06:49:35.215982,0.9,Federal government directory - nan
gov_phone_31,phone,1800 330 066,Continence Helpline,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/c#paginationControl,,,Federal,,Assistance to improve continence treatment and management,2025-08-30T06:49:35.216003,0.9,Federal government directory - Hours of Operation: Business hours
gov_phone_32,phone,1300 552 662,Defence Service Home Insurance,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/d#paginationControl,,,Federal,,Comprehensive home building insurance cover tailored to the Defence community,2025-08-30T06:49:35.216023,0.9,Federal government directory - Hours of Operation: available 24/7 for emergency claim assistance
gov_phone_33,phone,1800 722 000,Defence Service Home Lending,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/d#paginationControl,,,Federal,,Housing loans to recognise the contribution of those who have served in the Australian Defence Force,2025-08-30T06:49:35.216044,0.9,Federal government directory - nan
gov_phone_34,phone,1300 366 448,Dementia Behaviour Advisory Service,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/d#paginationControl,,,Federal,,This is a national telephone service to assist carers who look after those with dementia.,2025-08-30T06:49:35.216064,0.9,Federal government directory - Hours of Operation: 24 Hours
gov_phone_35,phone,1800 100 500,Dementia Helpline,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/d#paginationControl,,,Federal,,The Dementia Helpline is a national support service staffed by trained and experienced advisors.,2025-08-30T06:49:35.216084,0.9,Federal government directory - Hours of Operation: 24 Hours
gov_phone_36,phone,1800 838 372,DVA Feedback,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/d#paginationControl,,,Federal,,DVA Feedback,2025-08-30T06:49:35.216104,0.9,Federal government directory - Hours of Operation: 8am to 5 pm Monday to Friday
gov_phone_37,phone,1800 040 070,Employers' Immigration Hotline,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/e#paginationControl,,,Federal,,"Use this number to check, as an employer, the work rights of potential employees.",2025-08-30T06:49:35.216125,0.9,"Federal government directory - Hours of Operation: Monday to Friday, 9am to 5pm"
gov_phone_38,phone,1800 803 772,Environment Community Information,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/e#paginationControl,,,Federal,,For enquiries about the publications and services of the Department,2025-08-30T06:49:35.216145,0.9,Federal government directory - Hours of Operation: 9am to 4pm EST
gov_phone_39,phone,13 2866,Extended-hours Business,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/e#paginationControl,,,Federal,,"8am-6pm, Mon-Fri and 10am-4pm, Sat (local time) except national public holidaysPlease note: A limited service will operate between 6pm and 8pm on weekdays and 10am and 4pm on Saturday",2025-08-30T06:49:35.216165,0.9,Federal government directory - nan
gov_phone_40,phone,13 1142,Extended-hours Debt Enquiries,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/e#paginationControl,,,Federal,,"8am-6pm, Mon-Fri and 10am-4pm, Sat (local time) except national public holidaysPlease note: A limited service will operate between 6pm and 8pm on weekdays and 10am and 4pm on Saturday",2025-08-30T06:49:35.216186,0.9,Federal government directory - nan
gov_phone_41,phone,13 2861,Extended-hours Individuals,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/e#paginationControl,,,Federal,,"8am-6pm, Mon-Fri and 10am-4pm, Sat and Sun (local time) except national public holidaysPlease note: A limited service for myGov/myTax enquiries will operate between 6pm and 10pm on weekdays and 10am and 4pm on weekends. Call 13 28 61 and select option 5",2025-08-30T06:49:35.216206,0.9,Federal government directory - nan
gov_phone_42,phone,13 7286,Extended-hours Registered Tax Profession,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/e#paginationControl,,,Federal,,"8am-6pm, Mon-Fri and 10am-4pm, Sat (local time) except national public holidaysPlease note: A limited service will operate between 6pm and 8pm on weekdays and 10am and 4pm on Saturday",2025-08-30T06:49:35.216227,0.9,Federal government directory - nan
gov_phone_43,phone,131 394,Fair Work Infoline,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/f#paginationControl,,,Federal,,We're here to give advice and help you understand your workplace rights and responsibilities. If you have a question or problem relating to your workplace call the Fair Work Infoline.,2025-08-30T06:49:35.216247,0.9,"Federal government directory - Hours of Operation: 8.00am - 5.30pm local time, Monday to Friday"
gov_phone_44,phone,1800 900 090,Farm Support,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/f#paginationControl,,,Federal,,For general enquiries,2025-08-30T06:49:35.216267,0.9,Federal government directory - nan
gov_phone_45,phone,1300 363 992,Freedom of Information Enquiries Line,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/f#paginationControl,,,Federal,,The Office of the Australian Information Commissioner Enquiries Line covers FOI and Privacy enquiries,2025-08-30T06:49:35.216288,0.9,Federal government directory - nan
gov_phone_46,phone,1800 181 030,Gene Technology Regulator,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/g#paginationControl,,,Federal,,General enquiries,2025-08-30T06:49:35.216308,0.9,Federal government directory - Hours of Operation: Business hours
gov_phone_47,phone,1300 488 064,General Enquiries,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/g#paginationControl,,,Federal,,People with hearing or speech disability can use the National Relay Service to access the department`s phone numbers. Call 1300 555 727 (speak and listen) or go to the NRS website for other options.,2025-08-30T06:49:35.216329,0.9,Federal government directory - nan
gov_phone_48,phone,1800 838 372,General Enquiries,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/g#paginationControl,,,Federal,,General inquiries (calls from within Australia),2025-08-30T06:49:35.216349,0.9,Federal government directory - Hours of Operation: 8am to 5 pm Monday to Friday
gov_phone_49,phone,1300 488 064,General Enquiries,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/g#paginationControl,,,Federal,,People with hearing or speech disability can use the National Relay Service to access the department`s phone numbers. Call 1300 555 727 (speak and listen) or go to the NRS website for other options.,2025-08-30T06:49:35.216370,0.9,Federal government directory - nan
gov_phone_50,phone,+61 2 6289 1133,General Enquiries - International,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/g#paginationControl,,,Federal,,General enquiries for international callers.,2025-08-30T06:49:35.216390,0.9,Federal government directory - Hours of Operation: 8am to 5 pm Monday - Friday
gov_phone_51,phone,02 6272 5674,Hannah Massocchi,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/h#paginationControl,,,Federal,,Executive Assistant to People Strategy and Safety Branch,2025-08-30T06:49:35.216411,0.9,Federal government directory - nan
gov_phone_52,phone,132 300,Health Care Cards,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/h#paginationControl,,,Federal,,Call Department of Human Services for information about eligibility and card types.,2025-08-30T06:49:35.216432,0.9,Federal government directory - nan
gov_phone_53,phone,1800 043 159,Health Care Complaints Commission,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/h#paginationControl,,,Federal,,Complaints may be made about anything to do with public or private health care services or a health care practitioner,2025-08-30T06:49:35.216453,0.9,Federal government directory - nan
gov_phone_54,phone,1800 500 983,Health Grants - GrantNet,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/h#paginationControl,,,Federal,,National Health and Medical Research Council grants information,2025-08-30T06:49:35.216474,0.9,Federal government directory - Hours of Operation: Business hours
gov_phone_55,phone,02 6283 3604,Honours inquiries including nomination,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/h#paginationControl,,,Federal,,Answering machine,2025-08-30T06:49:35.216494,0.9,Federal government directory - Hours of Operation: 24 hours
gov_phone_56,phone,1300 656 419,Human Rights and Equal Opportunity Compl,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/h#paginationControl,,,Federal,,"The Commission investigates alleged infringements of human rights under the Human Rights and Equal Opportunity Commission Act 1986 and breaches of anti-discrimination law under the Age Discrimination Act 2004, Disability Discrimination Act 1992, Racial Discrimination Act 1975 and Sex Discrimination Act 1984. Complaints are handled on a confidential basis with an emphasis on conciliation.",2025-08-30T06:49:35.216515,0.9,Federal government directory - nan
gov_phone_57,phone,131 881,Immigration General Enquiries,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/i#paginationControl,,,Federal,,"Note: This number is only available if you are calling from inside Australia. If you are outside Australia and wish to make an enquiry please contact the relevant Australian Immigration office overseas.Use this general enquiries number to:obtain general information on all temporary and permanent visa categories (including visitors, students, family migration, temporary business visas and refugee and humanitarian applications)make appointments for lodging visa applicationschange contact detailscontact departmental officers",2025-08-30T06:49:35.216538,0.9,Federal government directory - Hours of Operation: Monday to Friday 9am to 5pm
gov_phone_58,phone,1800 671 811,Immunisation Hotline,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/i#paginationControl,,,Federal,,"o ATAGIo Australian Technical Advisory Group on Immunisationo Department of Health and Ageingo Health and Ageingo Immunisationo Immunise Australiao Immunisingo Inquirieso National Immunisation Committee (NIC) National Immunisation Program (NIP)o National Immunisation Program (NIP)o National Information Lineso Vaccinatingo Vaccinationo Vaccineo Vaccine preventableo Vaccine preventativeo Vaccine safetyAn Australian, State and Territory Government initiative, the Immunise Australia Program aims to increase national immunisation rates for vaccine preventable diseases. The Immunisation Hotline provides information on the National Immunisation Program and individual vaccines.",2025-08-30T06:49:35.216558,0.9,Federal government directory - Hours of Operation: Business Hours
gov_phone_59,phone,(02) 6120 1350,Instrument registration and gazettal Hel,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/i#paginationControl,,,Federal,,Instrument registration and gazettal Help desk,2025-08-30T06:49:35.216578,0.9,Federal government directory - nan
gov_phone_60,phone,1800 641 792,Maritime Search and Rescue,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/m#paginationControl,,,Federal,,nan,2025-08-30T06:49:35.216599,0.9,Federal government directory - Hours of Operation: 24 hours
gov_phone_61,phone,(61 2) 6272 3232,Media enquires - Agriculture,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/m#paginationControl,,,Federal,,For media enquiries about agriculture and biosecurity issues.,2025-08-30T06:49:35.216619,0.9,Federal government directory - nan
gov_phone_62,phone,(61 2) 6275 9880,Media enquires - Environment,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/m#paginationControl,,,Federal,,For media enquiries about environment issues,2025-08-30T06:49:35.216639,0.9,Federal government directory - nan
gov_phone_63,phone,02 6264 2244,Media Enquiries,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/m#paginationControl,,,Federal,,"The Department's Communication and Media Branch are responsible for media releases, responding to journalist, TV and photo enquiries, general media related enquiries and letters to editors in Australian newspapers on departmental issues.",2025-08-30T06:49:35.216660,0.9,Federal government directory - Hours of Operation: 9am to 5pm
gov_phone_64,phone,(02) 6240 7300,Media Enquiries,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/m#paginationControl,,,Federal,,we will not respond to any other enquiry.,2025-08-30T06:49:35.216680,0.9,Federal government directory - nan
gov_phone_65,phone,1800 007 757,Medical Indemnity,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/m#paginationControl,,,Federal,,Information about medical indemnity insurance,2025-08-30T06:49:35.216700,0.9,Federal government directory - Hours of Operation: Business Hours
gov_phone_66,phone,13 2011,Medicare,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/m#paginationControl,,,Federal,,General Enquiries,2025-08-30T06:49:35.216720,0.9,Federal government directory - Hours of Operation: Business Hours
gov_phone_67,phone,1800 026 132,National Museum of Australia,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/n#paginationControl,,,Federal,,General Enquiries,2025-08-30T06:49:35.216740,0.9,Federal government directory - Hours of Operation: Business Hours
gov_phone_68,phone,1800 123 400,National Security Hotline,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/n#paginationControl,,,Federal,,Report activities relevant to national security.,2025-08-30T06:49:35.216760,0.9,Federal government directory - Hours of Operation: 24 hrs/day - 7 days/week
gov_phone_69,phone,1300 780 133,Nominal Rolls,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/n#paginationControl,,,Federal,,A Nominal Roll is a list of the names of veterans who have served in a particular conflict in which Australia has participated.,2025-08-30T06:49:35.216780,0.9,Federal government directory - nan
gov_phone_70,phone,1300 366 979,Notifying Work-Related Incidents,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/n#paginationControl,,,Federal,,Service for notifying work related incidents to Comcare.,2025-08-30T06:49:35.216801,0.9,Federal government directory - nan
gov_phone_71,phone,1800 838 372,Office of Australian War Graves,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/o#paginationControl,,,Federal,,Enquiries regarding war graves eligibility.,2025-08-30T06:49:35.216821,0.9,Federal government directory - Hours of Operation: 9am to 5.30pm Monday to Friday
gov_phone_72,phone,1800 641 792,Oil spills & marine pollution,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/o#paginationControl,,,Federal,,Reporting polluting ships,2025-08-30T06:49:35.216841,0.9,Federal government directory - Hours of Operation: 24 hours
gov_phone_73,phone,1800 011 046,Open Arms National,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/o#paginationControl,,,Federal,,Open Arms Veterans and Families Counselling,2025-08-30T06:49:35.216861,0.9,Federal government directory - Hours of Operation: 24 / 7
gov_phone_74,phone,1800 777 203,Organ Donor Registry,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/o#paginationControl,,,Federal,,Information about registering to become an organ donor,2025-08-30T06:49:35.216881,0.9,Federal government directory - Hours of Operation: Business Hours
gov_phone_75,phone,13 2869,Our Switchboard,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/o#paginationControl,,,Federal,,"8am-5pm, Mon-Fri (local time) except national public holidays",2025-08-30T06:49:35.216901,0.9,Federal government directory - nan
gov_phone_76,phone,1300 364 785,Personal insolvency information,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/p#paginationControl,,,Federal,,Designed for people who may be finding their level of debt unmanageable and are contemplating bankruptcy.,2025-08-30T06:49:35.216921,0.9,Federal government directory - Hours of Operation: Monday to Friday 8:30 am to 8:00 pm (AEST and AEDT)
gov_phone_77,phone,1300 007 777,Personal Property Securities Register,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/p#paginationControl,,,Federal,,The Personal Property Securities Register (PPSR) is a national online register that can provide information to help protect consumers when they are buying.,2025-08-30T06:49:35.216941,0.9,Federal government directory - Hours of Operation: Monday to Friday - 8:30 am to 8 pm (AEST)
gov_phone_78,phone,1800 020 613,Pharmaceutical Benefits Scheme,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/p#paginationControl,,,Federal,,General information service,2025-08-30T06:49:35.216961,0.9,Federal government directory - Hours of Operation: Business Hours
gov_phone_79,phone,1800 552 580,Prescriber Information,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/p#paginationControl,,,Federal,,nan,2025-08-30T06:49:35.216981,0.9,Federal government directory - nan
gov_phone_80,phone,1300 363 992,Privacy Enquiries Line,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/p#paginationControl,,,Federal,,The Office of the Australian Information Commissioner Enquiries Line covers FOI and Privacy enquiries,2025-08-30T06:49:35.217002,0.9,Federal government directory - nan
gov_phone_81,phone,1800 022 333,Radiation Protection and Nuclear Safety,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/r#paginationControl,,,Federal,,General information service,2025-08-30T06:49:35.217022,0.9,Federal government directory - nan
gov_phone_82,phone,1300 341 665,Registered Organisations Commission,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/r#paginationControl,,,Federal,,We’re here to educate and support registered organisations in Australia ensure they comply with legislative requirements.,2025-08-30T06:49:35.217042,0.9,Federal government directory - Hours of Operation: 9.00am - 5.00pm Monday to Friday
gov_phone_83,phone,1800 550 457,Rehabilitation Appliances Program (RAP),government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/r#paginationControl,,,Federal,,"The Rehabilitation Appliances Program (RAP) Enquiry Line exists to enable ease of access to prescribers, suppliers, clients and internal staff to submit RAP related questions, accounts and requests.",2025-08-30T06:49:35.217064,0.9,Federal government directory - nan
gov_phone_84,phone,1800 300 288,Reserve Bank of Australia,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/r#paginationControl,,,Federal,,General enquiries,2025-08-30T06:49:35.217085,0.9,Federal government directory - nan
gov_phone_85,phone,0011 +33 1 4059 3300,Responsible for Algeria,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/r#paginationControl,,,Federal,,Australian Embassy in France,2025-08-30T06:49:35.217106,0.9,Federal government directory - nan
gov_phone_86,phone,1300 652 020,Royal Australian Mint,government,government_services_scraper,https://www.directory.gov.au/enquiry-lines/r#paginationControl,,,Federal,,nan,2025-08-30T06:49:35.217129,0.9,Federal government directory - Hours of Operation: 8.30am to 4.30pm
